34,21,22
29,39,16
39,34,10
31,19,11
30,22,19
14,16,9
19,33,36
19,25,27
37,16,16
19,40,12
25,37,11
29,12,10
37,12,37
32,36,40
30,16,30
23,39,36
33,38,39
21,38,36
33,34,10
9,27,37
34,31,35
39,40,28
23,38,9
36,14,23
28,36,15
40,19,22
15,12,30
35,23,35
12,30,34
28,26,39
40,20,25
12,26,13
40,25,40
40,11,15
32,33,34
31,9,18
14,10,25
33,39,36
21,38,17
32,36,16
18,27,25
11,11,12
18,29,24
17,29,12
39,20,16
23,32,17
25,15,31
17,30,19
39,15,12
10,40,17
32,27,15
18,27,32
20,10,28
22,9,31
30,25,17
32,20,28
23,33,24
26,17,16
33,35,11
39,21,10
38,39,15
22,25,40
14,24,16
10,12,19
38,28,14
40,17,13
32,14,38
32,20,10
35,29,26
25,21,14
34,10,13
36,34,20
28,15,30
30,18,33
29,21,38
25,29,37
16,38,14
15,18,30
31,17,19
38,30,21
25,16,39
28,28,17
27,34,24
29,19,21
18,12,25
29,14,22
38,10,30
10,26,15
30,21,16
33,33,36
17,25,14
15,35,21
13,10,38
12,38,35
27,22,36
15,18,37
40,11,16
13,14,25
33,26,28
34,32,31
33,27,22
20,34,25
9,18,23
12,21,28
21,34,26
39,23,30
27,37,15
29,31,17
33,17,32
40,34,9
21,26,13
11,20,26
36,26,11
34,23,35
23,22,25
39,36,21
18,29,39
17,39,38
37,17,11
33,10,31
29,40,11
22,12,40
11,28,21
25,35,15
37,32,28
35,11,27
34,35,28
21,14,30
36,18,18
27,37,19
30,20,38
12,9,10
40,38,15
36,28,30
16,28,36
12,16,40
23,39,16
27,36,23
20,40,17
11,9,25
29,13,15
18,12,22
20,13,39
40,32,21
22,24,18
37,16,15
35,36,13
40,21,9
10,16,29
16,22,23
15,10,38
32,15,27
34,39,21
10,39,34
36,29,14
32,35,20
39,35,19
36,11,15
14,31,18
26,9,37
24,38,39
23,36,24
18,18,20
30,38,37
37,15,18
17,15,13
16,38,27
23,16,34
13,15,28
19,26,27
11,14,18
23,33,28
25,39,17
31,15,20
18,35,38
9,13,22
12,39,13
19,19,29
11,10,14
37,29,34
26,9,14
23,21,40
32,27,40
19,33,37
18,35,11
26,31,12
35,37,26
36,14,29
12,16,18
25,12,16
19,13,26
38,16,38
14,34,10
17,10,12
9,38,35
36,22,34
9,11,18
35,15,40
31,26,9
29,35,29
9,9,22
36,33,9
26,39,17
11,39,11
32,24,11
11,22,31
18,22,37
25,13,26
17,39,16
16,37,18
19,25,33
11,20,22
14,39,27
23,13,13
29,40,27
20,15,23
29,13,40
38,29,16
19,28,29
24,39,13
20,14,17
16,39,38
39,14,26
23,11,11
29,11,21
19,27,15
24,28,26
24,27,34
16,19,18
38,19,13
21,30,34
16,21,14
25,28,12
10,40,17
35,17,21
23,31,29
36,39,26
23,14,32
33,37,37
11,27,31
25,30,14
25,38,30
36,29,38
27,33,28
18,13,24
30,11,39
20,37,40
37,19,28
37,28,12
38,36,31
30,35,24
14,12,19
29,21,39
13,35,26
27,26,27
14,10,35
11,23,20
15,34,9
34,37,15
32,25,20
15,27,10
28,26,38
32,11,36
14,17,33
12,32,36
16,33,19
14,32,15
29,37,24
34,11,30
38,21,11
20,15,21
11,12,22
33,40,18
11,27,12
22,34,25
31,14,33
30,27,12
36,40,17
20,13,38
12,30,29
16,19,36
24,40,14
35,37,19
11,25,23
29,9,25
19,27,35
17,29,35
39,40,12
23,39,26
11,22,26
40,36,12
30,38,11
21,28,9
9,30,33
19,36,39
27,31,9
19,17,34
37,28,9
16,37,27
18,14,15
20,24,20
36,15,27
26,39,16
31,18,25
21,26,13
26,21,26
33,31,28
18,20,25
12,24,39
40,35,18
38,38,28
14,23,35
15,16,11
11,25,36
37,36,24
19,20,26
40,34,27
16,13,32
27,10,38
14,10,11
25,28,25
25,29,14
29,17,33
24,26,33
14,13,34
9,25,30
33,14,38
25,30,17
11,33,13
40,31,13
11,21,19
28,23,28
18,18,38
12,30,16
39,32,29
20,14,19
33,18,25
34,10,32
39,29,19
22,21,37
15,25,25
20,23,20
36,13,11
12,11,40
33,25,35
12,11,9
17,18,34
39,29,22
28,38,27
35,21,17
14,27,10
27,13,35
18,33,10
34,37,9
16,22,10
19,13,15
23,16,19
36,23,25
26,18,35
20,27,28
11,37,31
17,40,17
18,36,29
10,34,32
32,34,16
36,27,39
24,11,34
22,12,31
16,31,26
26,29,27
14,39,34
21,39,22
17,30,28
22,38,30
39,23,19
27,17,34
31,26,13
14,17,25
16,36,17
18,32,33
13,12,30
14,16,31
35,31,25
19,17,28
19,24,14
